Generation, Best Score, Average Score, Best Lap Time, Laps, Average Laps, Number of Neurons, Best Agent Evolution, Mutation Rates Used
1090, 9500.0, 7896.3907500000005, 0, 19, 14.875, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnpipc, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-
1091, 9011.95, 6881.767750000001, 0, 18, 12.23, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcimcppicmpm, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/-/-/-/-/0.01/-/0.01
1092, 9500.0, 8257.322, 0, 19, 15.465, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcpncm, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/0.01
1093, 10000.0, 8120.0154999999995, 131506, 20, 14.92, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnpipcnpmmm, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/0.01/0.01/0.01
1094, 10000.0, 8250.42975, 133691, 20, 14.75, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcimcpmicmmcc, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/-/0.01/-/-/0.01/0.01/-/-
1095, 9500.0, 8056.210249999999, 0, 19, 14.67, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnpipcpcc, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/-/-/-
1096, 9747.15, 7923.869000000001, 0, 19, 14.23, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnpipcpm, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/-/0.01
1097, 9500.0, 8056.17775, 0, 19, 15.11, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcimcpmicmmccnni, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/-/0.01/-/-/0.01/0.01/-/-/0.01/0.01/-
1098, 9739.05, 7629.0725, 0, 19, 13.605, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcimcppicmpmp, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/-/-/-/-/0.01/-/0.01/-
1099, 10000.0, 7936.22975, 151263, 20, 13.915, 1864, rpimmmmmmmpmnmmmncmnmpmpmpmmcmcicmcmmmmmmppmnpcnccniippmnpmmmmnmccimiminpcimmimpmpicmnicnmpmpimpmcpipmnppcimcpmicmmccnnip, -/-/-/0.01/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/0.01/0.01/0.01/-/0.01/-/0.01/-/0.01/0.01/-/0.1/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/0.01/0.01/-/-/0.1/-/-/0.01/-/-/-/-/0.01/0.01/-/0.01/0.01/0.01/0.01/0.01/0.01/-/-/-/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/0.01/-/0.01/-/-/-/0.01/0.01/-/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/-/-/-/-/0.01/0.01/-/-/-/-/0.01/-/-/0.01/-/-/0.01/0.01/-/-/0.01/0.01/-/-
1100, 8797.75, 6497.209, 0, 17, 11.59, 1864, r, -
1101, 9500.0, 7305.813, 0, 19, 12.735, 1864, rc, -/-
1102, 10000.0, 7919.87, 126218, 20, 14.285, 1864, rp, -/-
1103, 10000.0, 8196.03075, 135438, 20, 15.075, 1864, riii, -/-/-/-
1104, 9500.0, 7726.0557499999995, 0, 19, 13.985, 1864, rpnn, -/-/0.01/0.01
1105, 10000.0, 7755.078750000001, 135813, 20, 13.46, 1864, rpnm, -/-/0.01/0.01
1106, 10000.0, 8224.277250000001, 136908, 20, 14.75, 1864, rpcnm, -/-/-/0.01/0.01
1107, 9500.0, 7790.313749999999, 0, 19, 14.495, 1864, rpcm, -/-/-/0.1
1108, 9207.3, 7276.867, 0, 18, 13.615, 1864, rpm, -/-/0.1
1109, 9000.0, 7168.65575, 0, 18, 12.805, 1864, rpnnpm, -/-/0.01/0.01/-/0.01
1110, 9500.0, 7900.530000000001, 0, 19, 14.425, 1864, rcp, -/-/-
1111, 10000.0, 7101.848, 135871, 20, 12.455, 1864, rpnnp, -/-/0.01/0.01/-
1112, 9752.95, 7536.01725, 0, 19, 12.89, 1864, rpnnpmpm, -/-/0.01/0.01/-/0.01/-/0.01
1113, 9500.0, 7689.17575, 0, 19, 13.8, 1864, rpnnpmpmm, -/-/0.01/0.01/-/0.01/-/0.01/0.01
1114, 9500.0, 7830.69275, 0, 19, 14.675, 1864, rcpp, -/-/-/-
1115, 9801.55, 7923.275750000001, 0, 19, 14.065, 1864, rcppmm, -/-/-/-/0.01/0.01
1116, 10000.0, 7947.09125, 141510, 20, 13.995, 1864, rpcnmp, -/-/-/0.01/0.01/-
1117, 10000.0, 7773.1044999999995, 184667, 20, 14.22, 1864, rpnnpmpmmm, -/-/0.01/0.01/-/0.01/-/0.01/0.01/0.1
1118, 9500.0, 6839.133749999999, 0, 19, 11.93, 1864, rpmm, -/-/0.01/0.01
1119, 10000.0, 7820.05975, 130247, 20, 14.175, 1864, rpcnmppm, -/-/-/0.01/0.01/-/-/0.01
1120, 9924.25, 7020.255999999999, 0, 19, 12.14, 1864, rpcnmppmc, -/-/-/0.01/0.01/-/-/0.01/-
1121, 10000.0, 7491.641250000001, 159295, 20, 13.53, 1864, rpmmpm, -/-/0.01/0.01/-/0.01
1122, 10000.0, 7725.38875, 132524, 20, 14.02, 1864, rcppmiicmmci, -/-/-/-/0.01/-/-/-/0.01/0.01/-/-
1123, 9500.0, 7449.789750000001, 0, 19, 13.015, 1864, rpcnmppmpm, -/-/-/0.01/0.01/-/-/0.01/-/0.01
1124, 10000.0, 7359.6105, 152785, 20, 12.645, 1864, rpcnmppmimccm, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/-/0.01
1125, 9707.35, 7237.027, 0, 19, 12.45, 1864, rpcnmppmcpcm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01
1126, 9500.0, 7456.64625, 0, 19, 13.8, 1864, rcppcmcc, -/-/-/-/-/0.01/-/-
1127, 9500.0, 8158.666499999999, 0, 19, 14.85, 1864, rpcnmppmpmpnm, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/0.01
1128, 9500.0, 7574.36325, 0, 19, 13.665, 1864, rpcnmppmcpcm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01
1129, 9500.0, 7609.820750000001, 0, 19, 13.56, 1864, rpcnmppmcpcmc, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-
1130, 10000.0, 7299.249000000001, 155479, 20, 12.31, 1864, rpcnmppmcpcmim, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01
1131, 10000.0, 8275.10225, 115345, 20, 15.39, 1864, rpcnmppmimccmpcm, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/-/0.01/-/-/0.01
1132, 9500.0, 7431.7384999999995, 0, 19, 13.145, 1864, rpcnmppmcpcmcp, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-
1133, 9500.0, 6930.87225, 0, 19, 12.325, 1864, rpcnmppmcpcninmnm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/0.01/0.01/0.01
1134, 9344.1, 7232.621000000001, 0, 18, 12.31, 1864, rpcnmppmcpcmpmc, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-
1135, 10000.0, 8081.6735, 132277, 20, 14.84, 1864, rpcnmppmcpcninmnnmm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/0.01/0.01/0.01/0.01/0.1
1136, 10000.0, 7521.1092499999995, 133113, 20, 13.735, 1864, rpcnmppmcpcmpmcim, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/0.01
1137, 9240.0, 6895.9847500000005, 0, 18, 12.08, 1864, rpcnmppmcpcmpcnccicm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-/0.01/-/-/-/-/0.01
1138, 10000.0, 7666.406, 145486, 20, 13.725, 1864, rpcnmppmcpcmpmmcmcm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/0.01/-/0.01/-/0.01
1139, 10000.0, 8239.156500000001, 144391, 20, 14.65, 1864, rpcnmppmcpcmpmcimmcm, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/0.01/0.01/-/0.01
1140, 10000.0, 7833.57625, 126036, 20, 14.24, 1864, rpcnmppmcpcmcppcn, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-/-/-/0.01
1141, 10000.0, 8248.23525, 129218, 20, 15.06, 1864, rpcnmppmcpcmpmcpi, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/-
1142, 10000.0, 7784.7795, 147243, 20, 13.835, 1864, rpcnmppmpmpncmccmmm, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01
1143, 10000.0, 8292.6655, 110763, 20, 14.755, 1864, rpcnmppmcpcmpmcimpn, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/0.01/-/0.01
1144, 9128.4, 7313.8642500000005, 0, 18, 12.95, 1864, rpmmpmpimcmn, -/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/0.1
1145, 9500.0, 7856.219749999999, 0, 19, 14.68, 1864, rpcnmppmpmpncmccmmmpi, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01/-/-
1146, 9225.5, 7605.55325, 0, 18, 13.79, 1864, rpmmpmpimcmnmc, -/-/0.01/0.01/-/0.01/-/-/0.01/-/0.01/0.1/0.01/-
1147, 10000.0, 7709.94725, 135601, 20, 13.42, 1864, rpcnmppmcpcmpcnccicmpmc, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-/0.01/-/-/-/-/0.01/-/0.01/-
1148, 8999.05, 6882.209, 0, 17, 12.02, 1864, rpcnmppmpmpncmccmmmpncmn, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01/-/0.01/-/0.01/0.01
1149, 9500.0, 7104.0815, 0, 19, 12.67, 1864, rpcnmppmpmpncmccmmmpipci, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01/-/-/-/-/-
1150, 9224.3, 7100.8862500000005, 0, 18, 12.095, 1864, rpcnmppmpmpncmccmmmpipcic, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01/-/-/-/-/-/-
1151, 10000.0, 7407.401, 157616, 20, 12.665, 1864, rpcnmppmcpcmpcnccicmpmcp, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-/0.01/-/-/-/-/0.01/-/0.01/-/-
1152, 9500.0, 7820.499000000001, 0, 19, 14.375, 1864, rpcnmppmcpcmpcnccicmpn, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/-/0.01/-/-/-/-/0.01/-/0.1
1153, 9656.7, 7660.259, 0, 19, 13.445, 1864, rpcnmppmcpcmpmcpipmcciicmc, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/-/-/0.01/-/-/-/-/-/0.1/-
1154, 9500.0, 7783.33625, 0, 19, 14.145, 1864, rpcnmppmpmpncmccmmmpipcicpm, -/-/-/0.01/0.01/-/-/0.01/-/0.01/-/0.01/-/0.01/-/-/0.01/0.01/0.01/-/-/-/-/-/-/-/0.01
1155, 9500.0, 7685.41425, 0, 19, 13.85, 1864, rpcnmppmcpcmpmcpip, -/-/-/0.01/0.01/-/-/0.01/-/-/-/0.01/-/0.01/-/-/-/-
